Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Cage Position,Moved?,Timer,Coral L1 Scored,Coral L2 Scored,Coral L3 Scored,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
TX,28,R3,2911,B1,False,SP3,True,14,2,5,5,3,4,2,5,4,0,5,3,2,4,1,3,3,3,3,5,0,4,1,2,5,Yellow,Slow intake
AR,28,R1,6156,B1,False,SP2,True,10,2,4,5,3,0,2,0,0,3,1,3,0,1,1,1,4,3,1,4,2,3,2,5,2,Red,Strong defense
TX,29,R2,9931,R1,True,SP2,True,12,5,1,1,5,3,1,0,2,4,2,2,2,0,1,5,3,4,4,1,3,2,1,1,2,Yellow,Strong defense
AR,29,B3,6219,B2,True,SP2,False,14,0,3,1,1,3,3,4,0,5,1,3,4,4,3,3,4,5,3,3,4,4,4,1,2,Red,
AR,29,R1,5471,R2,False,SP2,True,4,3,2,5,1,2,5,1,0,4,5,4,5,4,4,0,3,1,3,4,0,4,4,3,1,Red,Slow intake
AR,29,R3,5071,B2,False,SP3,True,3,4,5,1,3,0,0,0,0,5,0,2,3,5,3,2,2,4,5,5,5,0,5,0,3,Red,Clean match
MP,29,R1,1245,B2,False,SP3,True,7,2,5,0,1,3,3,1,2,2,0,4,5,1,5,1,3,5,0,0,1,4,0,2,2,Red,Clean match
MP,29,R2,3457,B2,False,SP1,True,0,3,3,2,1,0,1,2,2,5,2,2,5,3,5,4,0,2,2,3,3,4,2,1,0,Yellow,Strong defense
JL,30,R2,2850,B2,False,SP2,True,8,3,1,5,4,0,5,2,0,4,3,3,3,5,2,0,1,5,1,5,5,4,2,0,2,Yellow,Slow intake
AR,30,R1,4110,R2,False,SP1,True,13,5,4,1,2,1,0,2,0,4,5,5,2,0,3,1,0,0,3,4,0,3,5,5,3,No Card,Slow intake
TX,30,B1,9358,B2,False,SP2,True,0,1,0,3,4,4,0,1,2,5,3,4,0,3,5,2,0,3,1,0,1,1,4,0,3,Red,Strong defense
KS,30,B1,7450,B2,False,SP1,False,7,5,3,0,4,4,0,4,5,3,1,2,2,2,0,0,5,3,4,2,4,1,2,3,0,Yellow,Clean match
MP,30,B1,3193,B1,False,SP3,True,11,0,1,3,0,0,1,4,2,1,1,4,3,2,0,3,1,5,5,3,5,5,5,2,0,Yellow,
KS,30,B3,6769,B2,False,SP1,True,0,3,2,3,2,0,4,2,4,0,2,3,0,2,5,3,0,2,1,2,2,3,0,2,0,Red,Slow intake
